,Median Sale Price,Homes Sold,Date
0,246000,360977,1-2017
1,247000,369081,2-2017
2,257000,533610,3-2017
3,262000,516823,4-2017
4,269000,630788,5-2017
5,276000,692305,6-2017
6,272000,591551,7-2017
7,271000,628674,8-2017
8,268000,535617,9-2017
9,268000,526871,10-2017
10,270000,495517,11-2017
11,270000,499712,12-2017
12,263000,366400,1-2018
13,268000,377984,2-2018
14,277000,520789,3-2018
15,280000,545316,4-2018
16,287000,635061,5-2018
17,292000,671972,6-2018
18,287000,624557,7-2018
19,283000,641479,8-2018
20,277000,500018,9-2018
21,277000,530599,10-2018
22,278000,481106,11-2018
23,277000,445968,12-2018
24,272000,337103,1-2019
25,274000,376211,2-2019
26,283000,492799,3-2019
27,289000,553080,4-2019
28,297000,650350,5-2019
29,302000,628366,6-2019
30,299000,640812,7-2019
31,295000,632565,8-2019
32,291000,536596,9-2019
33,293000,547809,10-2019
34,293000,484353,11-2019
35,295000,515929,12-2019
36,289000,381306,1-2020
37,293000,409559,2-2020
38,302000,512443,3-2020
39,303000,442444,4-2020
40,298000,428048,5-2020
41,310000,596048,6-2020
42,322000,712170,7-2020
43,327000,673302,8-2020
44,331000,670101,9-2020
45,334000,681181,10-2020
46,333000,590703,11-2020
47,332000,636170,12-2020
48,329000,436950,1-2021
49,336000,441458,2-2021
50,352000,594218,3-2021
51,368000,627547,4-2021
52,375000,635092,5-2021
53,386000,732963,6-2021
54,384000,682497,7-2021
55,380000,677156,8-2021
56,375000,642162,9-2021
57,379000,615470,10-2021
58,383000,593248,11-2021
59,382000,597974,12-2021
60,376000,415785,1-2022
61,390000,414726,2-2022
