,Unemployment Rate,Date
0,3.8,2-2022
1,4.0,1-2022
2,3.9,12-2021
3,4.2,11-2021
4,4.6,10-2021
5,4.7,9-2021
6,5.2,8-2021
7,5.4,7-2021
8,5.9,6-2021
9,5.8,5-2021
10,6.0,4-2021
11,6.0,3-2021
12,6.2,2-2021
13,6.4,1-2021
14,6.7,12-2020
15,6.7,11-2020
16,6.9,10-2020
17,7.9,9-2020
18,8.4,8-2020
19,10.2,7-2020
20,11.0,6-2020
21,13.2,5-2020
22,14.7,4-2020
23,4.4,3-2020
24,3.5,2-2020
25,3.5,1-2020
26,3.6,12-2019
27,3.6,11-2019
28,3.6,10-2019
29,3.5,9-2019
30,3.7,8-2019
31,3.7,7-2019
32,3.6,6-2019
33,3.6,5-2019
34,3.6,4-2019
35,3.8,3-2019
36,3.8,2-2019
37,4.0,1-2019
38,3.9,12-2018
39,3.8,11-2018
40,3.8,10-2018
41,3.7,9-2018
42,3.8,8-2018
43,3.8,7-2018
44,4.0,6-2018
45,3.8,5-2018
46,4.0,4-2018
47,4.0,3-2018
48,4.1,2-2018
49,4.0,1-2018
50,4.1,12-2017
51,4.2,11-2017
52,4.2,10-2017
53,4.3,9-2017
54,4.4,8-2017
55,4.3,7-2017
56,4.3,6-2017
57,4.4,5-2017
58,4.4,4-2017
59,4.4,3-2017
60,4.6,2-2017
61,4.7,1-2017
62,4.7,12-2016
63,4.7,11-2016
64,4.9,10-2016
65,5.0,9-2016
66,4.9,8-2016
67,4.8,7-2016
68,4.9,6-2016
69,4.8,5-2016
70,5.1,4-2016
71,5.0,3-2016
72,4.9,2-2016
73,4.8,1-2016
74,5.0,12-2015
75,5.1,11-2015
76,5.0,10-2015
77,5.0,9-2015
78,5.1,8-2015
79,5.2,7-2015
80,5.3,6-2015
81,5.6,5-2015
82,5.4,4-2015
83,5.4,3-2015
84,5.5,2-2015
85,5.7,1-2015
86,5.6,12-2014
87,5.8,11-2014
88,5.7,10-2014
89,5.9,9-2014
90,6.1,8-2014
91,6.2,7-2014
92,6.1,6-2014
93,6.3,5-2014
94,6.2,4-2014
95,6.7,3-2014
96,6.7,2-2014
97,6.6,1-2014
98,6.7,12-2013
99,6.9,11-2013
100,7.2,10-2013
101,7.2,9-2013
102,7.2,8-2013
103,7.3,7-2013
104,7.5,6-2013
105,7.5,5-2013
106,7.6,4-2013
107,7.5,3-2013
108,7.7,2-2013
109,8.0,1-2013
110,7.9,12-2012
111,7.7,11-2012
112,7.8,10-2012
113,7.8,9-2012
114,8.1,8-2012
115,8.2,7-2012
116,8.2,6-2012
117,8.2,5-2012
118,8.2,4-2012
119,8.2,3-2012
120,8.3,2-2012
121,8.3,1-2012
122,8.5,12-2011
123,8.6,11-2011
124,8.8,10-2011
125,9.0,9-2011
126,9.0,8-2011
127,9.0,7-2011
128,9.1,6-2011
129,9.0,5-2011
130,9.1,4-2011
131,9.0,3-2011
132,9.0,2-2011
133,9.1,1-2011
134,9.3,12-2010
135,9.8,11-2010
136,9.4,10-2010
137,9.5,9-2010
138,9.5,8-2010
139,9.4,7-2010
140,9.4,6-2010
141,9.6,5-2010
142,9.9,4-2010
143,9.9,3-2010
144,9.8,2-2010
145,9.8,1-2010
