,Date,Close,Volume
0,4-2017,6047.61,8302492073
1,5-2017,6198.52,10239273745
2,6-2017,6140.42,12495363264
3,7-2017,6348.12,8578650016
4,8-2017,6428.66,9581315806
5,9-2017,6495.96,9408462400
6,10-2017,6727.67,9643769843
7,11-2017,6873.97,10199649517
8,12-2017,6903.39,10003547944
9,1-2018,7411.48,10402836615
10,2-2018,7273.01,10805256007
11,3-2018,7063.45,12330610876
12,4-2018,7066.27,10155255992
13,5-2018,7442.12,10635804212
14,6-2018,7510.3,12841254425
15,7-2018,7671.79,9424389971
16,8-2018,8109.54,10701358279
17,9-2018,8046.35,11153039738
18,10-2018,7305.9,14831031645
19,11-2018,7330.54,12569887986
20,12-2018,6635.28,13123251192
21,1-2019,7281.74,12227386728
22,2-2019,7532.53,10637207490
23,3-2019,7729.32,13041281885
24,4-2019,8095.39,10751583657
25,5-2019,7453.15,12283387305
26,6-2019,8006.24,12574574000
27,7-2019,8175.42,11143906050
28,8-2019,7962.88,11994480568
29,9-2019,7999.33,11510849523
30,10-2019,8292.36,11226733804
31,11-2019,8665.47,10745739757
32,12-2019,8972.6,12249707059
33,1-2020,9150.94,12887269817
34,2-2020,8567.37,13386395038
35,3-2020,7700.1,25111758860
36,4-2020,8889.55,18759920372
37,5-2020,9489.87,18165195419
38,6-2020,10058.77,27301039065
39,7-2020,10745.28,20682333679
40,8-2020,11775.46,17244602454
41,9-2020,11167.68,20520576928
42,10-2020,10911.59,16774563098
43,11-2020,12198.74,19469397524
44,12-2020,12888.28,23504578175
45,1-2021,13070.7,26547129200
46,2-2021,13192.35,27399221363
47,3-2021,13246.87,29117810074
48,4-2021,13962.68,18514952779
49,5-2021,13748.74,18492542668
50,6-2021,14503.95,24048313629
51,7-2021,14672.68,17455837215
52,8-2021,15259.24,17681288822
53,9-2021,14448.58,20386896202
54,10-2021,15498.39,18708446295
55,11-2021,15537.69,21650408237
56,12-2021,15644.97,22793982904
57,1-2022,14239.88,20652338241
58,2-2022,13751.4,18893380907
59,3-2022,14108.82,20046780946
