,Date,Close,Volume
0,5-2012,1310.33,14171819000
1,6-2012,1362.16,13748606000
2,7-2012,1379.32,12125974000
3,8-2012,1406.58,11021329000
4,9-2012,1440.67,11125102000
5,10-2012,1412.16,11142180000
6,11-2012,1416.18,11665885000
7,12-2012,1426.19,11056055000
8,1-2013,1498.11,11634145000
9,2-2013,1514.68,10580729000
10,3-2013,1569.19,10719776000
11,4-2013,1597.57,12164042000
12,5-2013,1630.74,11694887000
13,6-2013,1606.28,12462410000
14,7-2013,1685.73,11191664000
15,8-2013,1632.97,10079978000
16,9-2013,1681.55,10408247000
17,10-2013,1756.54,11680123000
18,11-2013,1805.81,9655322000
19,12-2013,1848.36,10568798000
20,1-2014,1782.59,11740838000
21,2-2014,1859.45,10770665000
22,3-2014,1872.34,11474553000
23,4-2014,1883.95,11695601000
24,5-2014,1923.57,9699181000
25,6-2014,1960.23,10175998000
26,7-2014,1930.67,10073730000
27,8-2014,2003.37,8649482000
28,9-2014,1972.29,10512696000
29,10-2014,2018.05,13974546000
30,11-2014,2067.56,9304450000
31,12-2014,2058.9,12364231000
32,1-2015,1994.99,12047140000
33,2-2015,2104.5,10343659000
34,3-2015,2067.89,13018356000
35,4-2015,2085.51,11149400000
36,5-2015,2107.39,10167715000
37,6-2015,2063.11,12346647000
38,7-2015,2103.84,12184138000
39,8-2015,1972.18,14503322000
40,9-2015,1920.03,15286427000
41,10-2015,2079.36,14410190000
42,11-2015,2080.41,11798490000
43,12-2015,2043.94,14154967000
44,1-2016,1940.24,16256144000
45,2-2016,1932.23,15830276000
46,3-2016,2059.74,14656110000
47,4-2016,2065.3,13145299000
48,5-2016,2096.96,12496358000
49,6-2016,2098.86,14693806000
50,7-2016,2173.6,11439985000
51,8-2016,2170.95,11454707000
52,9-2016,2168.27,13023807000
53,10-2016,2126.15,11684815000
54,11-2016,2198.81,13899403000
55,12-2016,2238.83,40008140000
56,1-2017,2278.87,42691599000
57,2-2017,2363.64,40740785000
58,3-2017,2362.72,47262643000
59,4-2017,2384.2,37735945000
60,5-2017,2411.8,44654185000
61,6-2017,2423.41,48560081000
62,7-2017,2470.3,38444882000
63,8-2017,2471.65,40576570000
64,9-2017,2519.36,39446921000
65,10-2017,2575.26,43198854000
66,11-2017,2647.58,43412023000
67,12-2017,2673.61,39132011000
68,1-2018,2823.81,47016764000
69,2-2018,2713.83,49680994000
70,3-2018,2640.87,49520702000
71,4-2018,2648.05,44339282000
72,5-2018,2705.27,44387501000
73,6-2018,2718.37,46863556000
74,7-2018,2816.29,40961038000
75,8-2018,2901.52,41996721000
76,9-2018,2913.98,39907932000
77,10-2018,2711.74,58692278000
78,11-2018,2760.17,50522312000
79,12-2018,2506.85,52618530000
80,1-2019,2704.1,51676851000
81,2-2019,2784.49,41413763000
82,3-2019,2834.4,46078501000
83,4-2019,2945.83,41004943000
84,5-2019,2752.06,44288532000
85,6-2019,2941.76,40240962000
86,7-2019,2980.38,38589599000
87,8-2019,2926.46,44182148000
88,9-2019,2976.74,38026271000
89,10-2019,3037.56,41102825000
90,11-2019,3140.98,36870813000
91,12-2019,3230.78,36752558000
92,1-2020,3225.52,41642589000
93,2-2020,2954.22,45245591000
94,3-2020,2584.59,95328398000
95,4-2020,2912.43,71183389000
96,5-2020,3044.31,61411576000
97,6-2020,3100.29,72273672000
98,7-2020,3271.12,54487214000
99,8-2020,3500.31,46125741000
100,9-2020,3363.0,55234683000
101,10-2020,3269.96,51333971000
102,11-2020,3621.63,53533033000
103,12-2020,3756.07,50012214000
104,1-2021,3714.24,51314664000
105,2-2021,3811.15,45312810000
106,3-2021,3972.89,61183741000
107,4-2021,4181.17,44569620000
108,5-2021,4204.11,44739836000
109,6-2021,4297.5,45608524000
110,7-2021,4395.26,41950747000
111,8-2021,4522.68,40953482000
112,9-2021,4307.54,43063851000
113,10-2021,4605.38,41734570000
114,11-2021,4567.0,47188041000
115,12-2021,4766.18,49779279000
116,1-2022,4515.55,54612067000
117,2-2022,4373.94,50653703000
118,3-2022,4530.41,61933208000
119,4-2022,4545.86,0
