,New_cases,New_deaths,Date
0,0,0,1-2020
1,0,0,1-2020
2,0,0,1-2020
3,0,0,1-2020
4,0,0,1-2020
5,0,0,1-2020
6,0,0,1-2020
7,0,0,1-2020
8,0,0,1-2020
9,0,0,1-2020
10,0,0,1-2020
11,0,0,1-2020
12,0,0,1-2020
13,0,0,1-2020
14,0,0,1-2020
15,0,0,1-2020
16,0,0,1-2020
17,1,0,1-2020
18,0,0,1-2020
19,0,0,1-2020
20,0,0,1-2020
21,0,0,1-2020
22,0,0,1-2020
23,1,0,1-2020
24,0,0,1-2020
25,1,0,1-2020
26,0,0,1-2020
27,0,0,1-2020
28,0,0,1-2020
29,0,0,2-2020
30,1,0,2-2020
31,1,0,2-2020
32,3,0,2-2020
33,3,0,2-2020
34,0,0,2-2020
35,0,0,2-2020
36,0,0,2-2020
37,1,0,2-2020
38,0,0,2-2020
39,0,0,2-2020
40,0,0,2-2020
41,0,0,2-2020
42,1,0,2-2020
43,1,0,2-2020
44,0,0,2-2020
45,0,0,2-2020
46,0,0,2-2020
47,2,0,2-2020
48,5,0,2-2020
49,3,0,2-2020
50,1,0,2-2020
51,5,0,2-2020
52,6,0,2-2020
53,0,0,2-2020
54,4,0,2-2020
55,4,0,2-2020
56,8,0,2-2020
57,5,1,2-2020
58,4,0,3-2020
59,9,1,3-2020
60,18,0,3-2020
61,36,6,3-2020
62,51,3,3-2020
63,70,4,3-2020
64,78,3,3-2020
65,130,3,3-2020
66,146,5,3-2020
67,214,4,3-2020
68,390,4,3-2020
69,498,7,3-2020
70,534,12,3-2020
71,724,7,3-2020
72,951,11,3-2020
73,1217,13,3-2020
74,2175,20,3-2020
75,2341,21,3-2020
76,3202,27,3-2020
77,4896,64,3-2020
78,6117,69,3-2020
79,7537,92,3-2020
80,9120,112,3-2020
81,10839,122,3-2020
82,10714,160,3-2020
83,11393,212,3-2020
84,14060,301,3-2020
85,18532,339,3-2020
86,20221,485,3-2020
87,20802,560,3-2020
88,26248,667,3-2020
89,15259,625,4-2020
90,23732,989,4-2020
91,28368,1121,4-2020
92,29906,1309,4-2020
93,31848,1370,4-2020
94,32380,1546,4-2020
95,27030,1869,4-2020
96,28641,1697,4-2020
97,29261,2092,4-2020
98,34056,2242,4-2020
99,34759,2208,4-2020
100,32696,2235,4-2020
101,32105,2200,4-2020
102,27108,1862,4-2020
103,25004,1892,4-2020
104,25109,2466,4-2020
105,25087,2699,4-2020
106,31677,2454,4-2020
107,30462,2318,4-2020
108,27490,1875,4-2020
109,26977,2004,4-2020
110,26055,2054,4-2020
111,25307,2656,4-2020
112,30977,2243,4-2020
113,32962,1994,4-2020
114,34869,2078,4-2020
115,33191,1862,4-2020
116,26248,1550,4-2020
117,24414,1512,4-2020
118,23287,2100,4-2020
119,26943,2414,5-2020
120,31576,2225,5-2020
121,32060,1926,5-2020
122,28412,1604,5-2020
123,26945,1433,5-2020
124,21445,1240,5-2020
125,22798,2430,5-2020
126,25327,2335,5-2020
127,29498,2093,5-2020
128,28294,1599,5-2020
129,25808,1489,5-2020
130,21973,1081,5-2020
131,19420,1064,5-2020
132,24132,1527,5-2020
133,17445,1501,5-2020
134,34395,1932,5-2020
135,27196,1541,5-2020
136,25526,1224,5-2020
137,20064,926,5-2020
138,23029,965,5-2020
139,21651,1184,5-2020
140,23995,1362,5-2020
141,25820,1091,5-2020
142,25981,1793,5-2020
143,21224,921,5-2020
144,21693,809,5-2020
145,19446,681,5-2020
146,16750,829,5-2020
147,19815,1288,5-2020
148,24190,1216,5-2020
149,23855,1039,5-2020
150,23971,897,6-2020
151,21369,684,6-2020
152,17134,690,6-2020
153,20772,939,6-2020
154,20992,1028,6-2020
155,20648,874,6-2020
156,24709,865,6-2020
157,23706,678,6-2020
158,17716,586,6-2020
159,18077,799,6-2020
160,18515,825,6-2020
161,22253,867,6-2020
162,22959,894,6-2020
163,28385,730,6-2020
164,26381,684,6-2020
165,20535,488,6-2020
166,20653,537,6-2020
167,24758,669,6-2020
168,25832,678,6-2020
169,28611,655,6-2020
170,33195,742,6-2020
171,33363,572,6-2020
172,27200,418,6-2020
173,28745,496,6-2020
174,37873,736,6-2020
175,37226,691,6-2020
176,47138,2544,6-2020
177,46549,705,6-2020
178,43418,575,6-2020
179,37537,438,6-2020
180,38573,474,7-2020
181,46561,640,7-2020
182,59396,782,7-2020
183,55356,704,7-2020
184,60233,811,7-2020
185,49640,543,7-2020
186,39914,454,7-2020
187,51055,626,7-2020
188,56011,921,7-2020
189,65114,1089,7-2020
190,62244,950,7-2020
191,68273,947,7-2020
192,67418,887,7-2020
193,59590,834,7-2020
194,56074,734,7-2020
195,64722,922,7-2020
196,72017,1123,7-2020
197,69571,1079,7-2020
198,76792,1088,7-2020
199,67347,995,7-2020
200,59819,934,7-2020
201,58550,879,7-2020
202,63308,1181,7-2020
203,72232,1191,7-2020
204,73382,1260,7-2020
205,73187,1328,7-2020
206,61283,1142,7-2020
207,58271,950,7-2020
208,53442,946,7-2020
209,58922,1181,7-2020
210,64681,1165,7-2020
211,66215,1416,8-2020
212,68106,1381,8-2020
213,56529,1124,8-2020
214,51164,918,8-2020
215,45146,880,8-2020
216,51689,1078,8-2020
217,55637,1254,8-2020
218,54386,1199,8-2020
219,61821,1307,8-2020
220,51244,1043,8-2020
221,46250,896,8-2020
222,43690,812,8-2020
223,58822,1088,8-2020
224,54731,1330,8-2020
225,51669,1190,8-2020
226,55930,1051,8-2020
227,51250,942,8-2020
228,41328,890,8-2020
229,41722,645,8-2020
230,41494,930,8-2020
231,46662,1266,8-2020
232,46279,991,8-2020
233,47603,1008,8-2020
234,41312,998,8-2020
235,36863,843,8-2020
236,36110,602,8-2020
237,40309,879,8-2020
238,46725,1053,8-2020
239,46823,952,8-2020
240,46755,1029,8-2020
241,40701,820,8-2020
242,36587,727,9-2020
243,38798,573,9-2020
244,38916,855,9-2020
245,43953,864,9-2020
246,45196,945,9-2020
247,50877,911,9-2020
248,41539,787,9-2020
249,33674,689,9-2020
250,25056,411,9-2020
251,28073,560,9-2020
252,35060,826,9-2020
253,38568,827,9-2020
254,44217,870,9-2020
255,40056,650,9-2020
256,32721,743,9-2020
257,34509,437,9-2020
258,36739,750,9-2020
259,44231,1091,9-2020
260,44683,723,9-2020
261,47788,817,9-2020
262,42169,658,9-2020
263,34206,471,9-2020
264,41648,570,9-2020
265,49225,649,9-2020
266,41944,898,9-2020
267,46056,737,9-2020
268,49634,762,9-2020
269,41813,672,9-2020
270,35311,498,9-2020
271,38846,402,9-2020
272,38733,799,10-2020
273,45701,683,10-2020
274,47090,740,10-2020
275,51144,906,10-2020
276,47629,544,10-2020
277,35413,596,10-2020
278,41461,519,10-2020
279,41563,630,10-2020
280,53906,798,10-2020
281,55450,722,10-2020
282,58996,785,10-2020
283,53705,675,10-2020
284,44481,572,10-2020
285,49476,505,10-2020
286,50050,649,10-2020
287,57788,817,10-2020
288,62967,709,10-2020
289,69074,871,10-2020
290,54250,689,10-2020
291,48635,744,10-2020
292,61599,614,10-2020
293,58854,790,10-2020
294,69027,1036,10-2020
295,74784,928,10-2020
