,Median Sale Price,Homes Sold,Date
0,$246K,360977,1-2017
1,$247K,369081,2-2017
2,$257K,533610,3-2017
3,$262K,516823,4-2017
4,$269K,630788,5-2017
5,$276K,692305,6-2017
6,$272K,591551,7-2017
7,$271K,628674,8-2017
8,$268K,535617,9-2017
9,$268K,526871,10-2017
10,$270K,495517,11-2017
11,$270K,499712,12-2017
12,$263K,366400,1-2018
13,$268K,377984,2-2018
14,$277K,520789,3-2018
15,$280K,545316,4-2018
16,$287K,635061,5-2018
17,$292K,671972,6-2018
18,$287K,624557,7-2018
19,$283K,641479,8-2018
20,$277K,500018,9-2018
21,$277K,530599,10-2018
22,$278K,481106,11-2018
23,$277K,445968,12-2018
24,$272K,337103,1-2019
25,$274K,376211,2-2019
26,$283K,492799,3-2019
27,$289K,553080,4-2019
28,$297K,650350,5-2019
29,$302K,628366,6-2019
30,$299K,640812,7-2019
31,$295K,632565,8-2019
32,$291K,536596,9-2019
33,$293K,547809,10-2019
34,$293K,484353,11-2019
35,$295K,515929,12-2019
36,$289K,381306,1-2020
37,$293K,409559,2-2020
38,$302K,512443,3-2020
39,$303K,442444,4-2020
40,$298K,428048,5-2020
41,$310K,596048,6-2020
42,$322K,712170,7-2020
43,$327K,673302,8-2020
44,$331K,670101,9-2020
45,$334K,681181,10-2020
46,$333K,590703,11-2020
47,$332K,636170,12-2020
48,$329K,436950,1-2021
49,$336K,441458,2-2021
50,$352K,594218,3-2021
51,$368K,627547,4-2021
52,$375K,635092,5-2021
53,$386K,732963,6-2021
54,$384K,682497,7-2021
55,$380K,677156,8-2021
56,$375K,642162,9-2021
57,$379K,615470,10-2021
58,$383K,593248,11-2021
59,$382K,597974,12-2021
60,$376K,415785,1-2022
61,$390K,414726,2-2022
