,date,value
0,2/1/2022,3.8
1,1/1/2022,4.0
2,12/1/2021,3.9
3,11/1/2021,4.2
4,10/1/2021,4.6
5,9/1/2021,4.7
6,8/1/2021,5.2
7,7/1/2021,5.4
8,6/1/2021,5.9
9,5/1/2021,5.8
10,4/1/2021,6.0
11,3/1/2021,6.0
12,2/1/2021,6.2
13,1/1/2021,6.4
14,12/1/2020,6.7
15,11/1/2020,6.7
16,10/1/2020,6.9
17,9/1/2020,7.9
18,8/1/2020,8.4
19,7/1/2020,10.2
20,6/1/2020,11.0
21,5/1/2020,13.2
22,4/1/2020,14.7
23,3/1/2020,4.4
24,2/1/2020,3.5
25,1/1/2020,3.5
26,12/1/2019,3.6
27,11/1/2019,3.6
28,10/1/2019,3.6
29,9/1/2019,3.5
30,8/1/2019,3.7
31,7/1/2019,3.7
32,6/1/2019,3.6
33,5/1/2019,3.6
34,4/1/2019,3.6
35,3/1/2019,3.8
36,2/1/2019,3.8
37,1/1/2019,4.0
38,12/1/2018,3.9
39,11/1/2018,3.8
40,10/1/2018,3.8
41,9/1/2018,3.7
42,8/1/2018,3.8
43,7/1/2018,3.8
44,6/1/2018,4.0
45,5/1/2018,3.8
46,4/1/2018,4.0
47,3/1/2018,4.0
48,2/1/2018,4.1
49,1/1/2018,4.0
50,12/1/2017,4.1
51,11/1/2017,4.2
52,10/1/2017,4.2
53,9/1/2017,4.3
54,8/1/2017,4.4
55,7/1/2017,4.3
56,6/1/2017,4.3
57,5/1/2017,4.4
58,4/1/2017,4.4
59,3/1/2017,4.4
60,2/1/2017,4.6
61,1/1/2017,4.7
62,12/1/2016,4.7
63,11/1/2016,4.7
64,10/1/2016,4.9
65,9/1/2016,5.0
66,8/1/2016,4.9
67,7/1/2016,4.8
68,6/1/2016,4.9
69,5/1/2016,4.8
70,4/1/2016,5.1
71,3/1/2016,5.0
72,2/1/2016,4.9
73,1/1/2016,4.8
74,12/1/2015,5.0
75,11/1/2015,5.1
76,10/1/2015,5.0
77,9/1/2015,5.0
78,8/1/2015,5.1
79,7/1/2015,5.2
80,6/1/2015,5.3
81,5/1/2015,5.6
82,4/1/2015,5.4
83,3/1/2015,5.4
84,2/1/2015,5.5
85,1/1/2015,5.7
86,12/1/2014,5.6
87,11/1/2014,5.8
88,10/1/2014,5.7
89,9/1/2014,5.9
90,8/1/2014,6.1
91,7/1/2014,6.2
92,6/1/2014,6.1
93,5/1/2014,6.3
94,4/1/2014,6.2
95,3/1/2014,6.7
96,2/1/2014,6.7
97,1/1/2014,6.6
98,12/1/2013,6.7
99,11/1/2013,6.9
100,10/1/2013,7.2
101,9/1/2013,7.2
102,8/1/2013,7.2
103,7/1/2013,7.3
104,6/1/2013,7.5
105,5/1/2013,7.5
106,4/1/2013,7.6
107,3/1/2013,7.5
108,2/1/2013,7.7
109,1/1/2013,8.0
110,12/1/2012,7.9
111,11/1/2012,7.7
112,10/1/2012,7.8
113,9/1/2012,7.8
114,8/1/2012,8.1
115,7/1/2012,8.2
116,6/1/2012,8.2
117,5/1/2012,8.2
118,4/1/2012,8.2
119,3/1/2012,8.2
120,2/1/2012,8.3
121,1/1/2012,8.3
122,12/1/2011,8.5
123,11/1/2011,8.6
124,10/1/2011,8.8
125,9/1/2011,9.0
126,8/1/2011,9.0
127,7/1/2011,9.0
128,6/1/2011,9.1
129,5/1/2011,9.0
130,4/1/2011,9.1
131,3/1/2011,9.0
132,2/1/2011,9.0
133,1/1/2011,9.1
134,12/1/2010,9.3
135,11/1/2010,9.8
136,10/1/2010,9.4
137,9/1/2010,9.5
138,8/1/2010,9.5
139,7/1/2010,9.4
140,6/1/2010,9.4
141,5/1/2010,9.6
142,4/1/2010,9.9
143,3/1/2010,9.9
144,2/1/2010,9.8
145,1/1/2010,9.8
146,12/1/2009,9.9
147,11/1/2009,9.9
148,10/1/2009,10.0
149,9/1/2009,9.8
150,8/1/2009,9.6
151,7/1/2009,9.5
152,6/1/2009,9.5
153,5/1/2009,9.4
154,4/1/2009,9.0
155,3/1/2009,8.7
156,2/1/2009,8.3
157,1/1/2009,7.8
158,12/1/2008,7.3
159,11/1/2008,6.8
160,10/1/2008,6.5
161,9/1/2008,6.1
162,8/1/2008,6.1
163,7/1/2008,5.8
164,6/1/2008,5.6
165,5/1/2008,5.4
166,4/1/2008,5.0
167,3/1/2008,5.1
168,2/1/2008,4.9
169,1/1/2008,5.0
170,12/1/2007,5.0
171,11/1/2007,4.7
172,10/1/2007,4.7
173,9/1/2007,4.7
174,8/1/2007,4.6
175,7/1/2007,4.7
176,6/1/2007,4.6
177,5/1/2007,4.4
178,4/1/2007,4.5
179,3/1/2007,4.4
180,2/1/2007,4.5
181,1/1/2007,4.6
182,12/1/2006,4.4
183,11/1/2006,4.5
184,10/1/2006,4.4
185,9/1/2006,4.5
186,8/1/2006,4.7
187,7/1/2006,4.7
188,6/1/2006,4.6
189,5/1/2006,4.6
190,4/1/2006,4.7
191,3/1/2006,4.7
192,2/1/2006,4.8
193,1/1/2006,4.7
194,12/1/2005,4.9
195,11/1/2005,5.0
196,10/1/2005,5.0
197,9/1/2005,5.0
198,8/1/2005,4.9
199,7/1/2005,5.0
200,6/1/2005,5.0
201,5/1/2005,5.1
202,4/1/2005,5.2
203,3/1/2005,5.2
204,2/1/2005,5.4
205,1/1/2005,5.3
206,12/1/2004,5.4
207,11/1/2004,5.4
208,10/1/2004,5.5
209,9/1/2004,5.4
210,8/1/2004,5.4
