,Inflation Expectation,Date
0,4.9,2-2022
1,4.9,1-2022
2,4.8,12-2021
3,4.9,11-2021
4,4.8,10-2021
5,4.6,9-2021
6,4.6,8-2021
7,4.7,7-2021
8,4.2,6-2021
9,4.6,5-2021
10,3.4,4-2021
11,3.1,3-2021
12,3.3,2-2021
13,3.0,1-2021
14,2.5,12-2020
15,2.8,11-2020
16,2.6,10-2020
17,2.6,9-2020
18,3.1,8-2020
19,3.0,7-2020
20,3.0,6-2020
21,3.2,5-2020
22,2.1,4-2020
23,2.2,3-2020
24,2.4,2-2020
25,2.5,1-2020
26,2.3,12-2019
27,2.5,11-2019
28,2.5,10-2019
29,2.8,9-2019
30,2.7,8-2019
31,2.6,7-2019
32,2.7,6-2019
33,2.9,5-2019
34,2.5,4-2019
35,2.5,3-2019
36,2.6,2-2019
37,2.7,1-2019
38,2.7,12-2018
39,2.8,11-2018
40,2.9,10-2018
41,2.7,9-2018
42,3.0,8-2018
43,2.9,7-2018
44,3.0,6-2018
45,2.8,5-2018
46,2.7,4-2018
47,2.8,3-2018
48,2.7,2-2018
49,2.7,1-2018
50,2.7,12-2017
51,2.5,11-2017
52,2.4,10-2017
53,2.7,9-2017
54,2.6,8-2017
55,2.6,7-2017
56,2.6,6-2017
57,2.6,5-2017
58,2.5,4-2017
59,2.5,3-2017
60,2.7,2-2017
61,2.6,1-2017
62,2.2,12-2016
63,2.4,11-2016
64,2.4,10-2016
65,2.4,9-2016
66,2.5,8-2016
67,2.7,7-2016
68,2.6,6-2016
69,2.4,5-2016
70,2.8,4-2016
71,2.7,3-2016
72,2.5,2-2016
73,2.5,1-2016
74,2.6,12-2015
75,2.7,11-2015
76,2.7,10-2015
77,2.8,9-2015
78,2.8,8-2015
79,2.8,7-2015
80,2.7,6-2015
81,2.8,5-2015
82,2.6,4-2015
83,3.0,3-2015
84,2.8,2-2015
85,2.5,1-2015
86,2.8,12-2014
87,2.8,11-2014
88,2.9,10-2014
89,3.0,9-2014
90,3.2,8-2014
91,3.3,7-2014
92,3.1,6-2014
93,3.3,5-2014
94,3.2,4-2014
95,3.2,3-2014
96,3.2,2-2014
97,3.1,1-2014
98,3.0,12-2013
99,2.9,11-2013
100,3.0,10-2013
101,3.3,9-2013
102,3.0,8-2013
103,3.1,7-2013
104,3.0,6-2013
105,3.1,5-2013
106,3.1,4-2013
107,3.2,3-2013
108,3.3,2-2013
109,3.3,1-2013
110,3.2,12-2012
111,3.1,11-2012
112,3.1,10-2012
113,3.3,9-2012
114,3.6,8-2012
115,3.0,7-2012
116,3.1,6-2012
117,3.0,5-2012
118,3.2,4-2012
119,3.9,3-2012
120,3.3,2-2012
121,3.3,1-2012
122,3.1,12-2011
123,3.2,11-2011
124,3.2,10-2011
125,3.3,9-2011
126,3.5,8-2011
127,3.4,7-2011
128,3.8,6-2011
129,4.1,5-2011
130,4.6,4-2011
131,4.6,3-2011
132,3.4,2-2011
133,3.4,1-2011
134,3.0,12-2010
135,3.0,11-2010
136,2.7,10-2010
137,2.2,9-2010
138,2.7,8-2010
