,date,value
0,2022-02-01,4.9
1,2022-01-01,4.9
2,2021-12-01,4.8
3,2021-11-01,4.9
4,2021-10-01,4.8
5,2021-09-01,4.6
6,2021-08-01,4.6
7,2021-07-01,4.7
8,2021-06-01,4.2
9,2021-05-01,4.6
10,2021-04-01,3.4
11,2021-03-01,3.1
12,2021-02-01,3.3
13,2021-01-01,3
14,2020-12-01,2.5
15,2020-11-01,2.8
16,2020-10-01,2.6
17,2020-09-01,2.6
18,2020-08-01,3.1
19,2020-07-01,3
20,2020-06-01,3
21,2020-05-01,3.2
22,2020-04-01,2.1
23,2020-03-01,2.2
24,2020-02-01,2.4
25,2020-01-01,2.5
26,2019-12-01,2.3
27,2019-11-01,2.5
28,2019-10-01,2.5
29,2019-09-01,2.8
30,2019-08-01,2.7
31,2019-07-01,2.6
32,2019-06-01,2.7
33,2019-05-01,2.9
34,2019-04-01,2.5
35,2019-03-01,2.5
36,2019-02-01,2.6
37,2019-01-01,2.7
38,2018-12-01,2.7
39,2018-11-01,2.8
40,2018-10-01,2.9
41,2018-09-01,2.7
42,2018-08-01,3
43,2018-07-01,2.9
44,2018-06-01,3
45,2018-05-01,2.8
46,2018-04-01,2.7
47,2018-03-01,2.8
48,2018-02-01,2.7
49,2018-01-01,2.7
50,2017-12-01,2.7
51,2017-11-01,2.5
52,2017-10-01,2.4
53,2017-09-01,2.7
54,2017-08-01,2.6
55,2017-07-01,2.6
56,2017-06-01,2.6
57,2017-05-01,2.6
58,2017-04-01,2.5
59,2017-03-01,2.5
60,2017-02-01,2.7
61,2017-01-01,2.6
62,2016-12-01,2.2
63,2016-11-01,2.4
64,2016-10-01,2.4
65,2016-09-01,2.4
66,2016-08-01,2.5
67,2016-07-01,2.7
68,2016-06-01,2.6
69,2016-05-01,2.4
70,2016-04-01,2.8
71,2016-03-01,2.7
72,2016-02-01,2.5
73,2016-01-01,2.5
74,2015-12-01,2.6
75,2015-11-01,2.7
76,2015-10-01,2.7
77,2015-09-01,2.8
78,2015-08-01,2.8
79,2015-07-01,2.8
80,2015-06-01,2.7
81,2015-05-01,2.8
82,2015-04-01,2.6
83,2015-03-01,3.0
84,2015-02-01,2.8
85,2015-01-01,2.5
86,2014-12-01,2.8
87,2014-11-01,2.8
88,2014-10-01,2.9
89,2014-09-01,3.0
90,2014-08-01,3.2
91,2014-07-01,3.3
92,2014-06-01,3.1
93,2014-05-01,3.3
94,2014-04-01,3.2
95,2014-03-01,3.2
96,2014-02-01,3.2
97,2014-01-01,3.1
98,2013-12-01,3.0
99,2013-11-01,2.9
100,2013-10-01,3.0
101,2013-09-01,3.3
102,2013-08-01,3.0
103,2013-07-01,3.1
104,2013-06-01,3.0
105,2013-05-01,3.1
106,2013-04-01,3.1
107,2013-03-01,3.2
108,2013-02-01,3.3
109,2013-01-01,3.3
110,2012-12-01,3.2
111,2012-11-01,3.1
112,2012-10-01,3.1
113,2012-09-01,3.3
114,2012-08-01,3.6
115,2012-07-01,3.0
116,2012-06-01,3.1
117,2012-05-01,3.0
118,2012-04-01,3.2
119,2012-03-01,3.9
120,2012-02-01,3.3
121,2012-01-01,3.3
122,2011-12-01,3.1
123,2011-11-01,3.2
124,2011-10-01,3.2
125,2011-09-01,3.3
126,2011-08-01,3.5
127,2011-07-01,3.4
128,2011-06-01,3.8
129,2011-05-01,4.1
130,2011-04-01,4.6
131,2011-03-01,4.6
132,2011-02-01,3.4
133,2011-01-01,3.4
134,2010-12-01,3.0
135,2010-11-01,3.0
136,2010-10-01,2.7
137,2010-09-01,2.2
138,2010-08-01,2.7
139,2010-07-01,2.7
140,2010-06-01,2.8
141,2010-05-01,3.2
142,2010-04-01,2.9
143,2010-03-01,2.7
144,2010-02-01,2.7
145,2010-01-01,2.8
146,2009-12-01,2.5
147,2009-11-01,2.7
148,2009-10-01,2.9
149,2009-09-01,2.2
150,2009-08-01,2.8
151,2009-07-01,2.9
152,2009-06-01,3.1
153,2009-05-01,2.8
154,2009-04-01,2.8
155,2009-03-01,2.0
156,2009-02-01,1.9
157,2009-01-01,2.2
158,2008-12-01,1.7
159,2008-11-01,2.9
160,2008-10-01,3.9
161,2008-09-01,4.3
162,2008-08-01,4.8
163,2008-07-01,5.1
164,2008-06-01,5.1
165,2008-05-01,5.2
166,2008-04-01,4.8
167,2008-03-01,4.3
168,2008-02-01,3.6
169,2008-01-01,3.4
170,2007-12-01,3.4
171,2007-11-01,3.4
172,2007-10-01,3.1
173,2007-09-01,3.1
174,2007-08-01,3.2
175,2007-07-01,3.4
176,2007-06-01,3.4
177,2007-05-01,3.3
178,2007-04-01,3.3
179,2007-03-01,3.0
180,2007-02-01,3.0
181,2007-01-01,3.0
182,2006-12-01,2.9
183,2006-11-01,3.0
184,2006-10-01,3.1
185,2006-09-01,3.1
186,2006-08-01,3.8
187,2006-07-01,3.2
188,2006-06-01,3.3
189,2006-05-01,4.0
190,2006-04-01,3.3
191,2006-03-01,3.0
192,2006-02-01,3.0
193,2006-01-01,3.0
194,2005-12-01,3.1
195,2005-11-01,3.3
196,2005-10-01,4.6
197,2005-09-01,4.3
198,2005-08-01,3.1
199,2005-07-01,3.0
200,2005-06-01,3.2
201,2005-05-01,3.2
202,2005-04-01,3.3
203,2005-03-01,3.2
204,2005-02-01,2.9
205,2005-01-01,2.9
206,2004-12-01,3.0
207,2004-11-01,2.8
208,2004-10-01,3.1
209,2004-09-01,2.8
210,2004-08-01,2.8
211,2004-07-01,3.0
212,2004-06-01,3.3
213,2004-05-01,3.3
214,2004-04-01,3.2
215,2004-03-01,2.9
216,2004-02-01,2.6
217,2004-01-01,2.7
218,2003-12-01,2.6
219,2003-11-01,2.7
220,2003-10-01,2.6
221,2003-09-01,2.8
222,2003-08-01,2.5
