,Retail Sales,Date
0,509967,2-2022
1,520757,1-2022
2,636842,12-2021
3,583223,11-2021
4,559399,10-2021
5,536229,9-2021
6,557018,8-2021
7,558031,7-2021
8,562929,6-2021
9,570641,5-2021
10,558181,4-2021
11,567933,3-2021
12,440019,2-2021
13,464362,1-2021
14,559932,12-2020
15,492362,11-2020
16,495722,10-2020
17,476247,9-2020
18,488949,8-2020
19,494905,7-2020
20,481205,6-2020
21,462286,5-2020
22,377210,4-2020
23,430527,3-2020
24,415511,2-2020
25,418734,1-2020
26,521467,12-2019
27,469003,11-2019
28,456436,10-2019
29,429556,9-2019
30,473482,8-2019
31,462097,7-2019
32,448595,6-2019
33,475897,5-2019
34,442921,4-2019
35,447155,3-2019
36,384967,2-2019
37,399461,1-2019
38,493526,12-2018
39,459319,11-2018
40,441878,10-2018
41,417172,9-2018
42,456030,8-2018
43,441767,7-2018
44,443577,6-2018
45,464050,5-2018
46,420245,4-2018
47,444994,3-2018
48,380671,2-2018
49,389808,1-2018
50,497027,12-2017
51,442077,11-2017
52,417830,10-2017
53,412578,9-2017
54,431822,8-2017
55,416900,7-2017
56,423034,6-2017
57,434450,5-2017
58,407165,4-2017
59,422891,3-2017
60,365480,2-2017
61,368960,1-2017
62,482053,12-2016
63,413872,11-2016
64,397337,10-2016
65,394147,9-2016
66,416449,8-2016
67,405935,7-2016
68,410045,6-2016
69,413047,5-2016
70,394766,4-2016
71,405050,3-2016
72,363622,2-2016
73,351890,1-2016
74,464110,12-2015
75,396150,11-2015
76,392721,10-2015
77,382135,9-2015
78,405111,8-2015
79,406760,7-2015
80,398034,6-2015
81,409703,5-2015
82,387581,4-2015
83,393318,3-2015
84,342030,2-2015
85,350466,1-2015
86,451346,12-2014
87,391652,11-2014
88,388493,10-2014
89,374507,9-2014
90,401546,8-2014
91,394790,7-2014
92,385557,6-2014
93,408383,5-2014
94,383895,4-2014
95,383642,3-2014
96,337558,2-2014
97,340558,1-2014
98,430754,12-2013
99,378800,11-2013
100,369868,10-2013
101,352749,9-2013
102,388299,8-2013
103,377031,7-2013
104,369355,6-2013
105,389709,5-2013
106,362978,4-2013
107,374171,3-2013
108,332471,2-2013
109,333663,1-2013
110,416807,12-2012
111,368593,11-2012
112,355823,10-2012
113,342582,9-2012
114,372986,8-2012
115,351520,7-2012
116,356083,6-2012
117,373129,5-2012
118,349194,4-2012
119,368502,3-2012
120,331470,2-2012
121,315540,1-2012
122,408910,12-2011
123,351517,11-2011
124,337067,10-2011
125,333642,9-2011
126,352224,8-2011
127,341381,7-2011
128,346620,6-2011
129,348979,5-2011
130,339014,4-2011
131,345052,3-2011
132,299920,2-2011
133,298626,1-2011
134,386878,12-2010
135,328381,11-2010
136,315059,10-2010
137,307638,9-2010
138,322319,8-2010
139,320915,7-2010
140,319183,6-2010
141,324820,5-2010
142,316940,4-2010
143,321305,3-2010
144,275566,2-2010
145,279044,1-2010
146,362735,12-2009
147,303850,11-2009
148,300360,10-2009
149,288071,9-2009
150,314505,8-2009
151,308847,7-2009
152,306050,6-2009
153,307481,5-2009
154,292041,4-2009
155,290068,3-2009
156,264465,2-2009
157,273998,1-2009
158,346513,12-2008
159,299238,11-2008
160,311422,10-2008
161,313308,9-2008
162,342443,8-2008
163,344158,7-2008
164,339791,6-2008
165,357277,5-2008
166,331002,4-2008
167,334416,3-2008
168,308171,2-2008
169,307576,1-2008
170,387473,12-2007
171,341848,11-2007
172,331073,10-2007
173,317145,9-2007
174,349191,8-2007
175,333815,7-2007
176,338189,6-2007
177,353201,5-2007
178,321981,4-2007
179,335917,3-2007
180,290065,2-2007
181,295284,1-2007
182,380188,12-2006
183,323089,11-2006
184,312976,10-2006
185,310775,9-2006
186,339155,8-2006
187,325905,7-2006
188,330844,6-2006
189,337393,5-2006
190,316526,4-2006
191,326153,3-2006
192,282417,2-2006
193,286152,1-2006
194,370726,12-2005
195,311715,11-2005
196,302213,10-2005
197,300439,9-2005
198,321409,8-2005
199,316887,7-2005
200,317375,6-2005
201,311292,5-2005
202,302054,4-2005
203,306384,3-2005
204,265320,2-2005
205,263469,1-2005
206,354627,12-2004
207,294278,11-2004
208,287468,10-2004
209,282974,9-2004
210,294133,8-2004
211,294875,7-2004
212,289664,6-2004
213,296253,5-2004
214,284325,4-2004
215,287944,3-2004
216,253689,2-2004
217,252818,1-2004
218,327693,12-2003
219,272396,11-2003
220,273781,10-2003
221,265331,9-2003
222,285212,8-2003
223,279323,7-2003
224,271242,6-2003
225,281482,5-2003
226,265990,4-2003
227,264532,3-2003
228,233478,2-2003
229,242271,1-2003
230,308821,12-2002
231,263738,11-2002
232,259945,10-2002
233,246350,9-2002
234,277716,8-2002
235,266795,7-2002
236,260385,6-2002
237,271682,5-2002
238,257357,4-2002
239,257133,3-2002
240,228084,2-2002
241,230546,1-2002
242,298666,12-2001
243,262004,11-2001
244,265188,10-2001
245,236210,9-2001
246,266460,8-2001
247,251504,7-2001
248,260315,6-2001
249,268658,5-2001
250,249062,4-2001
251,253439,3-2001
252,223971,2-2001
253,226791,1-2001
254,294197,12-2000
255,252145,11-2000
256,245167,10-2000
257,243624,9-2000
258,257487,8-2000
259,244445,7-2000
260,255066,6-2000
261,257581,5-2000
262,239051,4-2000
263,253717,3-2000
264,227087,2-2000
265,213709,1-2000
266,293013,12-1999
267,240857,11-1999
268,233193,10-1999
269,230665,9-1999
270,240478,8-1999
271,236992,7-1999
272,236830,6-1999
273,237462,5-1999
274,227109,4-1999
275,230230,3-1999
276,199451,2-1999
277,196810,1-1999
278,265618,12-1998
279,218969,11-1998
280,220499,10-1998
281,208915,9-1998
282,216605,8-1998
283,217687,7-1998
284,220867,6-1998
285,221155,5-1998
286,212262,4-1998
287,207973,3-1998
288,183767,2-1998
289,187445,1-1998
290,249389,12-1997
291,207533,11-1997
292,210145,10-1997
293,201415,9-1997
294,211952,8-1997
295,208856,7-1997
296,205491,6-1997
297,211516,5-1997
298,199219,4-1997
299,203750,3-1997
300,178428,2-1997
301,181073,1-1997
302,237478,12-1996
303,203621,11-1996
304,201927,10-1996
305,189424,9-1996
306,204270,8-1996
307,197140,7-1996
308,196842,6-1996
309,205797,5-1996
310,191886,4-1996
311,191851,3-1996
312,173941,2-1996
313,167372,1-1996
314,227552,12-1995
315,193405,11-1995
316,184276,10-1995
317,182521,9-1995
318,193370,8-1995
319,182909,7-1995
320,191609,6-1995
321,190269,5-1995
322,176635,4-1995
323,181910,3-1995
324,155156,2-1995
325,158004,1-1995
326,221549,12-1994
327,184272,11-1994
328,178642,10-1994
329,175128,9-1994
330,182445,8-1994
331,173198,7-1994
332,178509,6-1994
333,175527,5-1994
334,170795,4-1994
335,173562,3-1994
336,146332,2-1994
337,145276,1-1994
338,206174,12-1993
339,169980,11-1993
340,163992,10-1993
341,159298,9-1993
342,163989,8-1993
343,164590,7-1993
344,162964,6-1993
345,163519,5-1993
346,158615,4-1993
347,153025,3-1993
348,134462,2-1993
349,137020,1-1993
350,191347,12-1992
351,154824,11-1992
352,155987,10-1992
353,148158,9-1992
354,152476,8-1992
355,152586,7-1992
356,151849,6-1992
357,152420,5-1992
358,147175,4-1992
359,142488,3-1992
360,131244,2-1992
361,130683,1-1992
