Date_reported,New_cases,New_deaths
1/3/2020,0,0
1/4/2020,0,0
1/5/2020,0,0
1/6/2020,0,0
1/7/2020,0,0
1/8/2020,0,0
1/9/2020,0,0
1/10/2020,0,0
1/11/2020,0,0
1/12/2020,0,0
1/13/2020,0,0
1/14/2020,0,0
1/15/2020,0,0
1/16/2020,0,0
1/17/2020,0,0
1/18/2020,0,0
1/19/2020,0,0
1/20/2020,1,0
1/21/2020,0,0
1/22/2020,0,0
1/23/2020,0,0
1/24/2020,0,0
1/25/2020,0,0
1/26/2020,1,0
1/27/2020,0,0
1/28/2020,1,0
1/29/2020,0,0
1/30/2020,0,0
1/31/2020,0,0
2/1/2020,0,0
2/2/2020,1,0
2/3/2020,1,0
2/4/2020,3,0
2/5/2020,3,0
2/6/2020,0,0
2/7/2020,0,0
2/8/2020,0,0
2/9/2020,1,0
2/10/2020,0,0
2/11/2020,0,0
2/12/2020,0,0
2/13/2020,0,0
2/14/2020,1,0
2/15/2020,1,0
2/16/2020,0,0
2/17/2020,0,0
2/18/2020,0,0
2/19/2020,2,0
2/20/2020,5,0
2/21/2020,3,0
2/22/2020,1,0
2/23/2020,5,0
2/24/2020,6,0
2/25/2020,0,0
2/26/2020,4,0
2/27/2020,4,0
2/28/2020,8,0
2/29/2020,5,1
3/1/2020,4,0
3/2/2020,9,1
3/3/2020,18,0
3/4/2020,36,6
3/5/2020,51,3
3/6/2020,70,4
3/7/2020,78,3
3/8/2020,130,3
3/9/2020,146,5
3/10/2020,214,4
3/11/2020,390,4
3/12/2020,498,7
3/13/2020,534,12
3/14/2020,724,7
3/15/2020,951,11
3/16/2020,1217,13
3/17/2020,2175,20
3/18/2020,2341,21
3/19/2020,3202,27
3/20/2020,4896,64
3/21/2020,6117,69
3/22/2020,7537,92
3/23/2020,9120,112
3/24/2020,10839,122
3/25/2020,10714,160
3/26/2020,11393,212
3/27/2020,14060,301
3/28/2020,18532,339
3/29/2020,20221,485
3/30/2020,20802,560
3/31/2020,26248,667
4/1/2020,15259,625
4/2/2020,23732,989
4/3/2020,28368,1121
4/4/2020,29906,1309
4/5/2020,31848,1370
4/6/2020,32380,1546
