date,Inflation
2/1/2022,4.9
1/1/2022,4.9
12/1/2021,4.8
11/1/2021,4.9
10/1/2021,4.8
9/1/2021,4.6
8/1/2021,4.6
7/1/2021,4.7
6/1/2021,4.2
5/1/2021,4.6
4/1/2021,3.4
3/1/2021,3.1
2/1/2021,3.3
1/1/2021,3
12/1/2020,2.5
11/1/2020,2.8
10/1/2020,2.6
9/1/2020,2.6
8/1/2020,3.1
7/1/2020,3
6/1/2020,3
5/1/2020,3.2
4/1/2020,2.1
3/1/2020,2.2
2/1/2020,2.4
1/1/2020,2.5
12/1/2019,2.3
11/1/2019,2.5
10/1/2019,2.5
9/1/2019,2.8
8/1/2019,2.7
7/1/2019,2.6
6/1/2019,2.7
5/1/2019,2.9
4/1/2019,2.5
3/1/2019,2.5
2/1/2019,2.6
1/1/2019,2.7
12/1/2018,2.7
11/1/2018,2.8
10/1/2018,2.9
9/1/2018,2.7
8/1/2018,3
7/1/2018,2.9
6/1/2018,3
5/1/2018,2.8
4/1/2018,2.7
3/1/2018,2.8
2/1/2018,2.7
1/1/2018,2.7
12/1/2017,2.7
11/1/2017,2.5
10/1/2017,2.4
9/1/2017,2.7
8/1/2017,2.6
7/1/2017,2.6
6/1/2017,2.6
5/1/2017,2.6
4/1/2017,2.5
3/1/2017,2.5
2/1/2017,2.7
1/1/2017,2.6
12/1/2016,2.2
11/1/2016,2.4
10/1/2016,2.4
9/1/2016,2.4
8/1/2016,2.5
7/1/2016,2.7
6/1/2016,2.6
5/1/2016,2.4
4/1/2016,2.8
3/1/2016,2.7
2/1/2016,2.5
1/1/2016,2.5
12/1/2015,2.6
11/1/2015,2.7
10/1/2015,2.7
9/1/2015,2.8
8/1/2015,2.8
7/1/2015,2.8
6/1/2015,2.7
5/1/2015,2.8
4/1/2015,2.6
3/1/2015,3
2/1/2015,2.8
1/1/2015,2.5
12/1/2014,2.8
11/1/2014,2.8
10/1/2014,2.9
9/1/2014,3
8/1/2014,3.2
7/1/2014,3.3
6/1/2014,3.1
5/1/2014,3.3
4/1/2014,3.2
3/1/2014,3.2
2/1/2014,3.2
1/1/2014,3.1
12/1/2013,3
11/1/2013,2.9
10/1/2013,3
9/1/2013,3.3
8/1/2013,3
7/1/2013,3.1
6/1/2013,3
5/1/2013,3.1
4/1/2013,3.1
3/1/2013,3.2
2/1/2013,3.3
1/1/2013,3.3
12/1/2012,3.2
11/1/2012,3.1
10/1/2012,3.1
9/1/2012,3.3
8/1/2012,3.6
7/1/2012,3
6/1/2012,3.1
5/1/2012,3
4/1/2012,3.2
3/1/2012,3.9
2/1/2012,3.3
1/1/2012,3.3
12/1/2011,3.1
11/1/2011,3.2
10/1/2011,3.2
9/1/2011,3.3
8/1/2011,3.5
7/1/2011,3.4
6/1/2011,3.8
5/1/2011,4.1
4/1/2011,4.6
3/1/2011,4.6
2/1/2011,3.4
1/1/2011,3.4
12/1/2010,3
11/1/2010,3
10/1/2010,2.7
9/1/2010,2.2
