date,Sales
2/1/2022,509967
1/1/2022,520757
12/1/2021,636842
11/1/2021,583223
10/1/2021,559399
9/1/2021,536229
8/1/2021,557018
7/1/2021,558031
6/1/2021,562929
5/1/2021,570641
4/1/2021,558181
3/1/2021,567933
2/1/2021,440019
1/1/2021,464362
12/1/2020,559932
11/1/2020,492362
10/1/2020,495722
9/1/2020,476247
8/1/2020,488949
7/1/2020,494905
6/1/2020,481205
5/1/2020,462286
4/1/2020,377210
3/1/2020,430527
2/1/2020,415511
1/1/2020,418734
12/1/2019,521467
11/1/2019,469003
10/1/2019,456436
9/1/2019,429556
8/1/2019,473482
7/1/2019,462097
6/1/2019,448595
5/1/2019,475897
4/1/2019,442921
3/1/2019,447155
2/1/2019,384967
1/1/2019,399461
12/1/2018,493526
11/1/2018,459319
10/1/2018,441878
9/1/2018,417172
8/1/2018,456030
7/1/2018,441767
6/1/2018,443577
5/1/2018,464050
4/1/2018,420245
3/1/2018,444994
2/1/2018,380671
1/1/2018,389808
12/1/2017,497027
11/1/2017,442077
10/1/2017,417830
9/1/2017,412578
8/1/2017,431822
7/1/2017,416900
6/1/2017,423034
5/1/2017,434450
4/1/2017,407165
3/1/2017,422891
2/1/2017,365480
1/1/2017,368960
12/1/2016,482053
11/1/2016,413872
10/1/2016,397337
9/1/2016,394147
8/1/2016,416449
7/1/2016,405935
6/1/2016,410045
5/1/2016,413047
4/1/2016,394766
3/1/2016,405050
2/1/2016,363622
1/1/2016,351890
12/1/2015,464110
11/1/2015,396150
10/1/2015,392721
9/1/2015,382135
8/1/2015,405111
7/1/2015,406760
6/1/2015,398034
5/1/2015,409703
4/1/2015,387581
3/1/2015,393318
2/1/2015,342030
1/1/2015,350466
12/1/2014,451346
11/1/2014,391652
10/1/2014,388493
9/1/2014,374507
8/1/2014,401546
7/1/2014,394790
6/1/2014,385557
5/1/2014,408383
4/1/2014,383895
3/1/2014,383642
2/1/2014,337558
1/1/2014,340558
12/1/2013,430754
11/1/2013,378800
10/1/2013,369868
9/1/2013,352749
8/1/2013,388299
7/1/2013,377031
6/1/2013,369355
5/1/2013,389709
4/1/2013,362978
3/1/2013,374171
2/1/2013,332471
1/1/2013,333663
12/1/2012,416807
11/1/2012,368593
10/1/2012,355823
9/1/2012,342582
8/1/2012,372986
7/1/2012,351520
6/1/2012,356083
5/1/2012,373129
4/1/2012,349194
3/1/2012,368502
2/1/2012,331470
1/1/2012,315540
12/1/2011,408910
11/1/2011,351517
10/1/2011,337067
9/1/2011,333642
8/1/2011,352224
7/1/2011,341381
6/1/2011,346620
5/1/2011,348979
4/1/2011,339014
3/1/2011,345052
2/1/2011,299920
1/1/2011,298626
12/1/2010,386878
11/1/2010,328381
10/1/2010,315059
9/1/2010,307638
8/1/2010,322319
7/1/2010,320915
6/1/2010,319183
5/1/2010,324820
4/1/2010,316940
3/1/2010,321305
2/1/2010,275566
1/1/2010,279044
12/1/2009,362735
11/1/2009,303850
10/1/2009,300360
9/1/2009,288071
8/1/2009,314505
7/1/2009,308847
6/1/2009,306050
5/1/2009,307481
4/1/2009,292041
3/1/2009,290068
2/1/2009,264465
1/1/2009,273998
12/1/2008,346513
11/1/2008,299238
10/1/2008,311422
9/1/2008,313308
8/1/2008,342443
7/1/2008,344158
6/1/2008,339791
5/1/2008,357277
