,date,value
0,2022-02-01,509967
1,2022-01-01,520757
2,2021-12-01,636842
3,2021-11-01,583223
4,2021-10-01,559399
5,2021-09-01,536229
6,2021-08-01,557018
7,2021-07-01,558031
8,2021-06-01,562929
9,2021-05-01,570641
10,2021-04-01,558181
11,2021-03-01,567933
12,2021-02-01,440019
13,2021-01-01,464362
14,2020-12-01,559932
15,2020-11-01,492362
16,2020-10-01,495722
17,2020-09-01,476247
18,2020-08-01,488949
19,2020-07-01,494905
20,2020-06-01,481205
21,2020-05-01,462286
22,2020-04-01,377210
23,2020-03-01,430527
24,2020-02-01,415511
25,2020-01-01,418734
26,2019-12-01,521467
27,2019-11-01,469003
28,2019-10-01,456436
29,2019-09-01,429556
30,2019-08-01,473482
31,2019-07-01,462097
32,2019-06-01,448595
33,2019-05-01,475897
34,2019-04-01,442921
35,2019-03-01,447155
36,2019-02-01,384967
37,2019-01-01,399461
38,2018-12-01,493526
39,2018-11-01,459319
40,2018-10-01,441878
41,2018-09-01,417172
42,2018-08-01,456030
43,2018-07-01,441767
44,2018-06-01,443577
45,2018-05-01,464050
46,2018-04-01,420245
47,2018-03-01,444994
48,2018-02-01,380671
49,2018-01-01,389808
50,2017-12-01,497027
51,2017-11-01,442077
52,2017-10-01,417830
53,2017-09-01,412578
54,2017-08-01,431822
55,2017-07-01,416900
56,2017-06-01,423034
57,2017-05-01,434450
58,2017-04-01,407165
59,2017-03-01,422891
60,2017-02-01,365480
61,2017-01-01,368960
62,2016-12-01,482053
63,2016-11-01,413872
64,2016-10-01,397337
65,2016-09-01,394147
66,2016-08-01,416449
67,2016-07-01,405935
68,2016-06-01,410045
69,2016-05-01,413047
70,2016-04-01,394766
71,2016-03-01,405050
72,2016-02-01,363622
73,2016-01-01,351890
74,2015-12-01,464110
75,2015-11-01,396150
76,2015-10-01,392721
77,2015-09-01,382135
78,2015-08-01,405111
79,2015-07-01,406760
80,2015-06-01,398034
81,2015-05-01,409703
82,2015-04-01,387581
83,2015-03-01,393318
84,2015-02-01,342030
85,2015-01-01,350466
86,2014-12-01,451346
87,2014-11-01,391652
88,2014-10-01,388493
89,2014-09-01,374507
90,2014-08-01,401546
91,2014-07-01,394790
92,2014-06-01,385557
93,2014-05-01,408383
94,2014-04-01,383895
95,2014-03-01,383642
96,2014-02-01,337558
97,2014-01-01,340558
98,2013-12-01,430754
99,2013-11-01,378800
100,2013-10-01,369868
101,2013-09-01,352749
102,2013-08-01,388299
103,2013-07-01,377031
104,2013-06-01,369355
105,2013-05-01,389709
106,2013-04-01,362978
107,2013-03-01,374171
108,2013-02-01,332471
109,2013-01-01,333663
110,2012-12-01,416807
111,2012-11-01,368593
112,2012-10-01,355823
113,2012-09-01,342582
114,2012-08-01,372986
115,2012-07-01,351520
116,2012-06-01,356083
117,2012-05-01,373129
118,2012-04-01,349194
119,2012-03-01,368502
120,2012-02-01,331470
121,2012-01-01,315540
122,2011-12-01,408910
123,2011-11-01,351517
124,2011-10-01,337067
125,2011-09-01,333642
126,2011-08-01,352224
127,2011-07-01,341381
128,2011-06-01,346620
129,2011-05-01,348979
130,2011-04-01,339014
131,2011-03-01,345052
132,2011-02-01,299920
133,2011-01-01,298626
134,2010-12-01,386878
135,2010-11-01,328381
136,2010-10-01,315059
137,2010-09-01,307638
138,2010-08-01,322319
139,2010-07-01,320915
140,2010-06-01,319183
141,2010-05-01,324820
142,2010-04-01,316940
143,2010-03-01,321305
144,2010-02-01,275566
145,2010-01-01,279044
146,2009-12-01,362735
147,2009-11-01,303850
148,2009-10-01,300360
149,2009-09-01,288071
150,2009-08-01,314505
151,2009-07-01,308847
152,2009-06-01,306050
153,2009-05-01,307481
154,2009-04-01,292041
155,2009-03-01,290068
156,2009-02-01,264465
157,2009-01-01,273998
158,2008-12-01,346513
159,2008-11-01,299238
160,2008-10-01,311422
161,2008-09-01,313308
162,2008-08-01,342443
163,2008-07-01,344158
164,2008-06-01,339791
165,2008-05-01,357277
166,2008-04-01,331002
167,2008-03-01,334416
168,2008-02-01,308171
169,2008-01-01,307576
170,2007-12-01,387473
171,2007-11-01,341848
172,2007-10-01,331073
173,2007-09-01,317145
174,2007-08-01,349191
175,2007-07-01,333815
176,2007-06-01,338189
177,2007-05-01,353201
178,2007-04-01,321981
179,2007-03-01,335917
180,2007-02-01,290065
181,2007-01-01,295284
182,2006-12-01,380188
183,2006-11-01,323089
184,2006-10-01,312976
185,2006-09-01,310775
186,2006-08-01,339155
187,2006-07-01,325905
188,2006-06-01,330844
189,2006-05-01,337393
190,2006-04-01,316526
191,2006-03-01,326153
192,2006-02-01,282417
193,2006-01-01,286152
194,2005-12-01,370726
195,2005-11-01,311715
196,2005-10-01,302213
197,2005-09-01,300439
198,2005-08-01,321409
199,2005-07-01,316887
200,2005-06-01,317375
201,2005-05-01,311292
202,2005-04-01,302054
203,2005-03-01,306384
204,2005-02-01,265320
205,2005-01-01,263469
206,2004-12-01,354627
207,2004-11-01,294278
208,2004-10-01,287468
209,2004-09-01,282974
210,2004-08-01,294133
211,2004-07-01,294875
212,2004-06-01,289664
213,2004-05-01,296253
214,2004-04-01,284325
215,2004-03-01,287944
216,2004-02-01,253689
217,2004-01-01,252818
218,2003-12-01,327693
219,2003-11-01,272396
220,2003-10-01,273781
221,2003-09-01,265331
222,2003-08-01,285212
223,2003-07-01,279323
224,2003-06-01,271242
225,2003-05-01,281482
226,2003-04-01,265990
227,2003-03-01,264532
228,2003-02-01,233478
229,2003-01-01,242271
230,2002-12-01,308821
231,2002-11-01,263738
232,2002-10-01,259945
233,2002-09-01,246350
234,2002-08-01,277716
235,2002-07-01,266795
236,2002-06-01,260385
237,2002-05-01,271682
238,2002-04-01,257357
239,2002-03-01,257133
240,2002-02-01,228084
241,2002-01-01,230546
242,2001-12-01,298666
243,2001-11-01,262004
244,2001-10-01,265188
245,2001-09-01,236210
246,2001-08-01,266460
247,2001-07-01,251504
248,2001-06-01,260315
249,2001-05-01,268658
250,2001-04-01,249062
251,2001-03-01,253439
252,2001-02-01,223971
253,2001-01-01,226791
254,2000-12-01,294197
255,2000-11-01,252145
256,2000-10-01,245167
257,2000-09-01,243624
258,2000-08-01,257487
259,2000-07-01,244445
260,2000-06-01,255066
261,2000-05-01,257581
262,2000-04-01,239051
263,2000-03-01,253717
264,2000-02-01,227087
265,2000-01-01,213709
266,1999-12-01,293013
267,1999-11-01,240857
268,1999-10-01,233193
269,1999-09-01,230665
270,1999-08-01,240478
271,1999-07-01,236992
272,1999-06-01,236830
273,1999-05-01,237462
274,1999-04-01,227109
275,1999-03-01,230230
276,1999-02-01,199451
277,1999-01-01,196810
278,1998-12-01,265618
279,1998-11-01,218969
280,1998-10-01,220499
281,1998-09-01,208915
282,1998-08-01,216605
283,1998-07-01,217687
284,1998-06-01,220867
285,1998-05-01,221155
286,1998-04-01,212262
287,1998-03-01,207973
288,1998-02-01,183767
289,1998-01-01,187445
290,1997-12-01,249389
291,1997-11-01,207533
292,1997-10-01,210145
293,1997-09-01,201415
294,1997-08-01,211952
295,1997-07-01,208856
296,1997-06-01,205491
297,1997-05-01,211516
298,1997-04-01,199219
299,1997-03-01,203750
300,1997-02-01,178428
301,1997-01-01,181073
302,1996-12-01,237478
303,1996-11-01,203621
304,1996-10-01,201927
305,1996-09-01,189424
306,1996-08-01,204270
307,1996-07-01,197140
308,1996-06-01,196842
309,1996-05-01,205797
310,1996-04-01,191886
311,1996-03-01,191851
312,1996-02-01,173941
313,1996-01-01,167372
314,1995-12-01,227552
315,1995-11-01,193405
316,1995-10-01,184276
317,1995-09-01,182521
318,1995-08-01,193370
319,1995-07-01,182909
320,1995-06-01,191609
321,1995-05-01,190269
322,1995-04-01,176635
323,1995-03-01,181910
324,1995-02-01,155156
325,1995-01-01,158004
326,1994-12-01,221549
327,1994-11-01,184272
328,1994-10-01,178642
329,1994-09-01,175128
330,1994-08-01,182445
331,1994-07-01,173198
332,1994-06-01,178509
333,1994-05-01,175527
334,1994-04-01,170795
335,1994-03-01,173562
336,1994-02-01,146332
337,1994-01-01,145276
338,1993-12-01,206174
339,1993-11-01,169980
340,1993-10-01,163992
341,1993-09-01,159298
342,1993-08-01,163989
343,1993-07-01,164590
344,1993-06-01,162964
345,1993-05-01,163519
346,1993-04-01,158615
347,1993-03-01,153025
348,1993-02-01,134462
349,1993-01-01,137020
350,1992-12-01,191347
351,1992-11-01,154824
352,1992-10-01,155987
353,1992-09-01,148158
354,1992-08-01,152476
355,1992-07-01,152586
356,1992-06-01,151849
357,1992-05-01,152420
358,1992-04-01,147175
359,1992-03-01,142488
360,1992-02-01,131244
361,1992-01-01,130683
